,record_id,level,message
0,8a71bb9f-e419-42aa-9ed7-f891631314a5,ERROR,No projects associated
1,8a71bb9f-e419-42aa-9ed7-f891631314a5,INFO,No version
2,8a71bb9f-e419-42aa-9ed7-f891631314a5,WARNING,No DOI defined
3,8a71bb9f-e419-42aa-9ed7-f891631314a5,WARNING,No funder
4,8a71bb9f-e419-42aa-9ed7-f891631314a5,WARNING,"Contact missing ORCID: contact['individual-name']='Technology Team, Geospatial' contact.get('organisation-name')='Hakai Institute'"
5,8a71bb9f-e419-42aa-9ed7-f891631314a5,WARNING,"Contact missing ORCID: contact['individual-name']='Coastal Observatory, Airborne' contact.get('organisation-name')='Airborne Coastal Observatory - Hakai Institute'"
6,8a71bb9f-e419-42aa-9ed7-f891631314a5,WARNING,"Contact missing organization ROR:  contact['individual-name']='Coastal Observatory, Airborne' contact['organisation-name']='Airborne Coastal Observatory - Hakai Institute'"
7,8a71bb9f-e419-42aa-9ed7-f891631314a5,WARNING,"Contact missing ORCID: contact['individual-name']='Technology Team, Geospatial' contact.get('organisation-name')='Hakai Institute'"
8,8a71bb9f-e419-42aa-9ed7-f891631314a5,WARNING,"Contact missing ORCID: contact['individual-name']='Coastal Observatory, Airborne' contact.get('organisation-name')='Airborne Coastal Observatory - Hakai Institute'"
9,8a71bb9f-e419-42aa-9ed7-f891631314a5,WARNING,"Contact missing organization ROR:  contact['individual-name']='Coastal Observatory, Airborne' contact['organisation-name']='Airborne Coastal Observatory - Hakai Institute'"
0,fa913b04-1c29-4449-a78a-466f6b4fb110,INFO,No version
1,fa913b04-1c29-4449-a78a-466f6b4fb110,WARNING,No DOI defined
2,fa913b04-1c29-4449-a78a-466f6b4fb110,WARNING,No funder
3,fa913b04-1c29-4449-a78a-466f6b4fb110,WARNING,"Contact missing ORCID: contact['individual-name']='McInnes, Will' contact.get('organisation-name')='Hakai Institute'"
4,fa913b04-1c29-4449-a78a-466f6b4fb110,WARNING,"Contact missing ORCID: contact['individual-name']='Holmes, Keith' contact.get('organisation-name')='Hakai Institute'"
5,fa913b04-1c29-4449-a78a-466f6b4fb110,WARNING,"Contact missing ORCID: contact['individual-name']='Technology Team, Geospatial' contact.get('organisation-name')='Hakai Institute'"
6,fa913b04-1c29-4449-a78a-466f6b4fb110,WARNING,Contact missing ORCID: contact['individual-name']='Hakai Institute' contact.get('organisation-name')='Hakai Institute'
7,fa913b04-1c29-4449-a78a-466f6b4fb110,WARNING,"Contact missing ORCID: contact['individual-name']='Holmes, Keith' contact.get('organisation-name')='Hakai Institute'"
8,fa913b04-1c29-4449-a78a-466f6b4fb110,WARNING,Contact missing ORCID: contact['individual-name']='Hakai Institute' contact.get('organisation-name')='Hakai Institute'
